device_id,id,name,coordinates,precise
WA546164,1,1 Green Planet,"[-122.19699064903253, 47.49902565156954]",1
WA546164,2,EWC Group Recyclers/eWaste Center,"[-122.23015963874957, 47.39918336447823]",1
WA546164,3,"Canada, Vancouver Port area","[-123.10969537747143, 49.311940748353905]",0
WA546164,4,"Hong Kong, Port of Hong Kong","[114.133333, 22.333333]",0
WA546164,5,"Hong Kong, New Territories","[114.1234, 22.3704]",0
OH157467,6,Accurate IT,"[-83.10375272549389, 39.969208831162504]",1
OH157467,7,"Pakistan, Port Qasim","[67.32869344511904, 24.767448330394107]",0
OH157467,8,"Pakistan, Multan ","[71.456527, 30.188337]",1
MA352894,9,ACT Secured Recycling,"[-71.15304421041003, 42.70884038245311]",1
MA352894,10,TBS Industries,"[-72.71720745007592, 42.255490525325705]",1
MA352894,11,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
MA352894,12,"Hong Kong, New Territories ","[113.981538, 22.453303]",1
NV353413,13,Nevada State Recycling,"[-115.16180688119586, 36.149843415024044]",1
NV353413,14,TW Recycling,"[-115.1391, 36.1716]",0
NV353413,15,Advance Trading Corp,"[-117.659313, 34.059492]",1
NV353413,16,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
NV353413,17,"Hong Kong, New Territories ","[114.019274, 22.423244]",1
CA549390,18,Recycling Event at Eliot Middle School,"[-118.13098919025249, 34.18319568783581]",1
CA549390,19,Attan Recycling Corp,"[-117.70934439496996, 34.00004410331367]",1
CA549390,20,Advance Trading Corp ,"[-117.659305, 34.059311]",1
CA549390,21,WTB Electronics Recycling Import & Export,"[-117.897295, 33.747121]",1
CA549390,22,Port of Long Beach,"[-118.2164027066185, 33.75403604662242]",0
CA549390,23,"Cambodia, Unverified location (Krong Preah Sihnaouk port area) ","[103.50137915753281, 10.642753097996945]",0
CA549390,24,"Cambodia, Unverified location (Phnom Penh area)","[104.91787357108755, 11.569222198370339]",0
NJ614731,25,Advanced Recovery Inc (ARI),"[-74.1433280275119, 40.800374754822016]",1
NJ614731,26,"Unverified location, Middletown, NJ","[-74.09835253992611, 40.390667496929424]",0
NJ614731,27,"Hong Kong, Port of Hong Kong","[114.133333, 22.333333]",0
NJ614731,28,"Hong Kong, New Territories","[114.166662, 22.526796]",1
CA552709,29,AERC Recycling Solutions,"[-122.05533117717962, 37.61812962397873]",1
CA552709,30,"Unverified location, Stockton, CA ","[-121.29412056429278, 37.957938447355495]",0
CA552709,31,"Unverified location, Chino, CA area","[-117.68712989747965, 34.011361309491235]",0
CA552709,32,Hong Kong - Port of Hong Kong ,"[114.133333, 22.333333]",0
CA552709,33,Hong Kong - Pillar Point port area ,"[113.9390984215767, 22.36470542117652]",0
CA552709,34,"Hong Kong, New Territories ","[114.071367, 22.48509]",1
CA552709,35,"Hong Kong, New Territories ","[114.01992, 22.455738]",1
CA552709,36,"Hong Kong, New Territories ","[114.003833, 22.485871]",1
CCA545745,37,"All eWaste collection event in Santa Clarita, CA","[-118.541739267885, 34.393247873697874]",0
CCA545745,38,"All eWaste HQ, Sun Valley, CA ","[-118.385998, 34.228201]",1
CCA545745,39,IQA Metals ,"[-117.6895369240572, 33.99408744384333]",1
CCA545745,40,Port of Long Beach ,"[-118.2164027066185, 33.75403604662242]",0
CCA545745,41,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
CCA545745,42,"Hong Kong, New Territories ","[113.9652, 22.447456]",1
MA616330,43,Allied Computer Brokers,"[-70.94801096873985, 42.8424297205171]",1
MA616330,44,"Unverified location, North Billerica, MA ","[-71.284720026298, 42.58325368671266]",0
MA616330,45,"Unverified location in Boston, MA ","[-71.05973740671557, 42.36045887721905]",0
MA616330,46,"Hong Kong, Port of Hong Kong","[114.133333, 22.333333]",0
MA616330,47,"Hong Kong, New Territories (unverified location)","[114.1234, 22.3704]",0
MA616330,48,"Hong Kong, New Territories ","[113.987362, 22.453112]",1
IL163523,49,ARCOA,"[-87.88251900807431, 42.36075574682718]",1
IL163523,50,ECR World ,"[-117.69497257795065, 33.99177714145301]",1
IL163523,51,"Port of Long Beach, CA","[-118.2164027066185, 33.75403604662242]",0
IL163523,52,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
IL163523,53,"Hong Kong, New Territories ","[114.002787, 22.436384]",1
CA551248,54,Attan Recycling Corp,"[-117.709278, 34.000353]",1
CA551248,55,"Port of Long Beach, CA","[-118.2164027066185, 33.75403604662242]",0
CA551248,56,"Taiwan, Unverified location, Port area in New Taipei City, Bali District","[121.3795004430545, 25.15243483182471]",0
CA551248,57,"Taiwan, Unverified location. Taoyuan City, Guanyin District","[121.11437638892617, 25.03978062110914]",0
OH166039,58,"Goodwill - Wooster, OH (Dell Reconnect Location)","[-81.94117128986848, 40.843940187671436]",1
OH166039,59,Avnet,"[-82.918673, 39.854467]",1
OH166039,60,"Unverified location, Columbus, OH ","[-82.99976920263906, 39.96441760400086]",0
OH166039,61,"Port of Long Beach, CA ","[-118.2164027066185, 33.75403604662242]",0
OH166039,62,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
OH166039,63,"China, Unverified location, Dongguan, Guang-dong","[113.75816284502564, 23.026806624028946]",0
OH166039,64,"China, Unverified location, Near Guiyu","[116.35186285034011, 23.317118673866133]",0
NV353470,65,Blind Center of Nevada,"[-115.12544977474842, 36.182627312764446]",1
NV353470,66,"Mexico, Mexicali area.","[-115.4474774140139, 32.625484622186505]",0
CA542981,67,Remitek Inc,"[-118.27227387561584, 33.89367947808764]",1
CA542981,68,Blue Star Electronics,"[-122.054587, 37.620382]",1
CA542981,69,"Unverified location, Fremont, CA area","[-121.98401324148254, 37.549458411301444]",0
CA542981,70,"San Francisco/Oakland ports, CA","[-122.27946546657319, 37.79560433150933]",0
CA542981,71,"Hong Kong, Port of Hong Kong","[114.133333, 22.333333]",0
CA542981,72,"Hong Kong, New Territories ","[114.016853, 22.429514]",1
CA540894,73,Blue Star Electronics,"[-122.054587, 37.620382]",1
CA540894,74,"Warehouse in Business Park at 4806 Fremont Blvd., Fremont, CA","[-121.93761223236079, 37.470680747569816]",1
CA540894,75,"Unverified Location, San Jose, CA area","[-121.87310214888795, 37.3378965415251]",0
CA540894,76,"Hong Kong, Port of Hong Kong","[114.133333, 22.333333]",0
CA540894,77,"Hong Kong, New Territories, Unverified location","[114.016853, 22.429514]",0
CA530101,78,Cal Micro Recycling,"[-117.680484, 34.061649]",1
CA530101,79,Growan Inc.,"[-118.0544218613511, 34.04598073892161]",1
CA530101,80,"Hong Kong, Port of Hong Kong","[114.133333, 22.333333]",0
CA530101,81,"Hong Kong, New Territories","[114.155034, 22.511]",0
CA544961,82,Cal State Electronic Recycling,"[-117.20229057488113, 33.15989915512284]",1
CA544961,83,"Port of Long Beach, CA","[-118.2164027066185, 33.75403604662242]",0
CA544961,84,"Thailand, Port area near Bangkok","[100.57574823862694, 13.703734436927954]",0
CA544961,85,"Thailand, Unverified location (Chon Buri, near Bangkok)","[101.24776639531811, 13.203325658718075]",0
CA552287,86,e-Recycling of California,"[-118.17193900780762, 33.90591527645441]",1
CA552287,87,Cal State Electronic Recycling,"[-117.20229057488113, 33.15989915512284]",1
CA552287,88,"Unverified location, City of Industry, CA","[-117.95713416128936, 34.0176983780788]",0
CA552287,89,"Port of Long Beach, CA","[-118.2164027066185, 33.75403604662242]",0
CA552287,90,"Hong Kong, Port of Hong Kong","[114.133333, 22.333333]",0
CA552287,91,"Hong Kong, New Territories ","[114.020101, 22.455844]",1
IL162640,92,Chicago Surplus Computer,"[-88.02316404563412, 41.91149880787909]",1
IL162640,93,"Unverified location, West Chicago, IL","[-88.20584481484458, 41.885470683062984]",0
IL162640,94,"Unverified location, possibly trainyard, Chicago, IL","[-88.23127105845865, 41.883694049109664]",0
IL162640,95,"Pakistan in Faisalabad, unverified location","[73.10027179447447, 31.43342649804699]",0
IL163424,96,Chicago Surplus Computer,"[-88.02316404563412, 41.91149880787909]",1
IL163424,97,UNITEC Recycling Corporation,"[-88.20874664736733, 41.86759565201253]",1
IL163424,98,Chicago Surplus Computer,"[-88.02316404563412, 41.91149880787909]",1
IL163424,99,"Unknown warehouse/field, Lombard, IL, GPS","[-88.023229, 41.913026]",1
IL163424,100,"UAE, Dubai","[55.418836, 25.29782]",1
IL616231,101,Chicago Surplus Computers,"[-88.02316404563412, 41.91149880787909]",1
IL616231,102,Port Newark. NJ,"[-74.14698983552468, 40.69050319579005]",0
IL616231,103,"Pakistan, Port Muhammard Bin Qasim, Karachi","[67.32677587824467, 24.766515950470446]",0
IL616231,104,"Pakistan, Faisalabad. ","[73.077023, 31.417952]",1
IL616371,105,Chicago Surplus Computers,"[-88.02316404563412, 41.91149880787909]",1
IL616371,106,"Unverified locations: Travels along train route from Chicago to Gila Bend, AZ","[-112.73675949337905, 32.95092210121715]",0
IL616371,107,"Hong Kong, Port of Hong Kong","[114.133333, 22.333333]",0
IL616371,108,"Hong Kong, New Territories","[114.166338, 22.528651]",1
MA353454,109,CRT Recycling,"[-71.01570121785039, 42.094003965195554]",1
MA353454,110,"Unverified location (potentially in transit, one cell tower reading in Leominster, MA before export)","[-71.7619190409946, 42.525681047330416]",0
MA353454,111,"Pakistan, Faisalabad","[73.126515, 31.412861]",1
MA353454,112,"Pakistan, Samundri","[72.973192, 31.057368]",1
MA616041,113,Earthworm Recycling,"[-71.08101885910216, 42.37685645102985]",1
MA616041,114,Good Point Recycling,"[-71.00868494628169, 42.095818879839925]",1
MA616041,115,"Unverified location (Chicago, IL)","[-87.64190493667708, 41.87789919024906]",0
MA616041,116,"Port of Long Beach, CA","[-118.2164027066185, 33.75403604662242]",0
MA616041,117,"Hong Kong, Port of Hong Kong","[114.133333, 22.333333]",0
MA616041,118,"Hong Kong, New Territories ","[113.981578, 22.453373]",1
OR356028,119,"Ecobinary, LLC","[-122.79801104359764, 45.37786787846321]",1
OR356028,120,"Unverified location (Portland, OR)","[-122.67622428740123, 45.51099562441424]",0
OR356028,121,"Trailer Yard used by Total Reclaim, Portland, OR","[-122.538103, 45.56183]",1
OR356028,122,"Trailer Yard, Seattle, WA used by Total Reclaim","[-122.356476, 47.578592]",1
OR356028,123,"Total Reclaim, Seattle, WA","[-122.325529, 47.584434]",1
OR356028,124,"Hong Kong, Port of Hong Kong","[114.133333, 22.333333]",0
OR356028,125,"Hong Kong, New Territories ","[113.966656, 22.450503]",1
OR356028,126,"Hong Kong, New Territories ","[114.074766, 22.485588]",1
NY615597,127,Mr. E-Waste ,"[-73.79838840328851, 42.251235954251555]",1
NY615597,128,ecoTech Management ,"[-73.083087, 40.774097]",1
NY615597,129,"Unverified location, Willingboro, NJ ","[-74.8913725425335, 40.028895216398766]",0
NY615597,130,"Hong Kong, New Territories ","[113.965548, 22.447177]",1
IL163523,131,ARCOA,"[-87.89594854561076, 42.36255066366812]",1
IL163523,132,ECR World ,"[-117.694784, 33.99196]",1
IL163523,133,"Port of Long Beach, CA ","[-118.2164027066185, 33.75403604662242]",0
IL163523,134,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
IL163523,135,"Hong Kong, New Territories ","[114.002787, 22.436384]",1
CA356242,136,Electronics Recycling Services Inc.,"[-121.8835324323347, 37.4109175282768]",1
CA356242,137,"Port of Oakland, CA","[-122.27911289136276, 37.795632739329115]",0
CA356242,138,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
CA356242,139,"Hong Kong, New Territories ","[114.016906, 22.429382]",1
CA356242,140,Hong Kong - Kowloon near port ,"[114.16024, 22.327304]",1
CA356242,141,"Hong Kong, New Territories ","[114.207566, 22.534432]",1
CA356242,142,"Hong Kong, New Territories ","[114.05527, 22.48053]",1
CA552287,143,e-Recycling of California,"[-118.17193900780762, 33.90591527645441]",1
CA552287,144,"Cal State Electronic Recycling (CSER, Inc.) ","[-117.20229057488113, 33.15989915512284]",1
CA552287,145,"Unverified location, City of Industry, CA ","[-117.95713416128936, 34.0176983780788]",0
CA552287,146,"Port of Long Beach, CA ","[-118.2164027066185, 33.75403604662242]",0
CA552287,147,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
CA552287,148,"Hong Kong, New Territories ","[114.020101, 22.455844]",1
NJ616173,149,eRevival LLC,"[-74.16453779313935, 40.934937869267486]",1
NJ616173,150,"Hong Kong, Unverified location","[114.1694, 22.3193]",0
NJ616173,151,"Hong Kong, New Territories","[114.039361, 22.424206]",1
OH160248,152,E-Scrap Solutions,"[ -81.63720224565351, 41.533303902571625]",1
OH160248,153,"Unverified location, Greensburg, PA ","[-79.54199167931377, 40.301636066288374]",0
